epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,161.731,1.13921,2.34916,3.2857,0.0034,4.01919,0.36341,0.34882,0.29259,0.21135,0.35212,0.36132,0.26436,0.17061,1.03508,2.58483,2.27114,0.00431,0,0.000413978,0.000413978,0.000413978
2,288.472,1.22847,2.23971,1.9333,0.0038,2.76665,0.31853,0.36547,0.28822,0.20434,0.30133,0.38011,0.28493,0.17845,1.0957,2.26865,2.92967,0.0046,0,0.000822422,0.000822422,0.000822422
3,413.921,1.29541,2.28771,1.88547,0.00392,2.26184,0.48821,0.36698,0.35397,0.23599,0.49471,0.37353,0.34857,0.2199,1.18067,2.29764,1.86049,0.00494,0,0.00122262,0.00122262,0.00122262
4,541.306,1.24835,2.28548,1.78706,0.00385,2.16574,0.37871,0.42005,0.35557,0.2562,0.37952,0.41858,0.35282,0.23609,1.1334,2.18138,1.76069,0.0047,0,0.00121287,0.00121287,0.00121287
5,667.251,1.26143,2.21247,1.76646,0.00384,2.16861,0.39484,0.45906,0.40223,0.27373,0.37459,0.45982,0.39437,0.24713,1.05946,2.13118,1.55422,0.00437,0,0.0012005,0.0012005,0.0012005
6,793.738,1.22877,2.13774,1.66272,0.00386,2.11156,0.63631,0.41154,0.43201,0.29318,0.63842,0.41227,0.42707,0.27898,1.11396,2.09609,1.57103,0.00479,0,0.00118812,0.00118812,0.00118812
7,919.975,1.20247,2.05977,1.5847,0.00376,2.0292,0.57386,0.43505,0.47638,0.32042,0.57322,0.4337,0.45883,0.29979,1.08341,2.00461,1.48654,0.00447,0,0.00117575,0.00117575,0.00117575
8,1045.52,1.19121,2.08862,1.62874,0.00372,2.06969,0.61857,0.42233,0.47129,0.32655,0.61747,0.42287,0.46761,0.30731,1.06946,2.1713,1.65686,0.0044,0,0.00116337,0.00116337,0.00116337
9,1170.42,1.20187,2.03811,1.55692,0.00369,1.96485,0.77038,0.41053,0.48912,0.33388,0.76556,0.41005,0.47589,0.31075,1.09005,2.07945,1.49013,0.00456,0,0.001151,0.001151,0.001151
10,1295.08,1.18951,2.03517,1.51253,0.00358,1.99236,0.61175,0.38336,0.4602,0.31642,0.61444,0.38544,0.45211,0.29508,1.04814,2.03714,1.36058,0.00429,0,0.00113863,0.00113863,0.00113863
11,1418.58,1.19888,2.02926,1.48789,0.00354,1.89319,0.45082,0.5244,0.43942,0.29781,0.46242,0.52297,0.43465,0.27567,1.07028,1.9586,1.4746,0.0044,0,0.00112625,0.00112625,0.00112625
12,1544.9,1.17847,1.99849,1.50435,0.00359,1.978,0.49849,0.50179,0.48737,0.34015,0.54637,0.43902,0.47248,0.31534,1.07638,1.98195,1.35922,0.00443,0,0.00111388,0.00111388,0.00111388
13,1676.2,1.18462,1.97117,1.50811,0.00356,1.93696,0.60739,0.47979,0.48855,0.34877,0.60739,0.47979,0.48177,0.32362,1.02762,1.91903,1.38698,0.00426,0,0.0011015,0.0011015,0.0011015
