epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2936.8,1.15509,1.81597,1.22705,0.00336,1.64406,0.61375,0.55879,0.5642,0.4092,0.60661,0.55137,0.55547,0.36379,1.12377,1.96803,1.35678,0.00452,0,0.000915875,0.000915875,0.000915875
29,3049.43,1.14308,1.79046,1.25003,0.00329,1.66364,0.51982,0.56239,0.55327,0.38788,0.50128,0.55888,0.54331,0.35423,1.12682,2.02069,1.42914,0.0045,0,0.0009035,0.0009035,0.0009035
30,3161.54,1.18068,1.87307,1.24545,0.00338,1.60626,0.65956,0.50009,0.56983,0.40782,0.66976,0.50069,0.56975,0.37586,1.15829,2.03556,1.3362,0.00462,0,0.000891125,0.000891125,0.000891125
31,3275.2,1.13439,1.74992,1.24315,0.00322,1.71672,0.6286,0.54749,0.59365,0.42723,0.6376,0.54066,0.58862,0.37221,1.1511,1.9884,1.33213,0.00461,0,0.00087875,0.00087875,0.00087875
32,3389.77,1.11928,1.76992,1.20362,0.00319,1.6107,0.58632,0.55323,0.59541,0.4208,0.63994,0.52956,0.58436,0.37877,1.12854,1.94833,1.25805,0.00449,0,0.000866375,0.000866375,0.000866375
33,3502.36,1.16026,1.77994,1.22467,0.00328,1.63648,0.56463,0.58218,0.55534,0.3859,0.56515,0.5828,0.55413,0.36109,1.15788,1.9504,1.34193,0.00463,0,0.000854,0.000854,0.000854
34,3612.8,1.17832,1.81393,1.23308,0.00337,1.66821,0.59877,0.55308,0.60111,0.42625,0.60034,0.55517,0.59134,0.39827,1.11405,1.96612,1.28868,0.00448,0,0.000841625,0.000841625,0.000841625
35,3721.73,1.14262,1.79327,1.16737,0.00331,1.55465,0.66827,0.60284,0.61419,0.43034,0.66013,0.59841,0.60577,0.37698,1.15285,1.9969,1.27565,0.00462,0,0.00082925,0.00082925,0.00082925
36,3832.14,1.14349,1.77583,1.20395,0.00329,1.61869,0.66608,0.53608,0.59666,0.42107,0.68258,0.54056,0.59249,0.38619,1.11668,1.90119,1.2981,0.00445,0,0.000816875,0.000816875,0.000816875
37,3943.07,1.10732,1.70221,1.15312,0.00324,1.53129,0.63659,0.56058,0.61685,0.43836,0.6361,0.56058,0.61185,0.40033,1.13443,1.98531,1.32556,0.0046,0,0.0008045,0.0008045,0.0008045
38,4056.8,1.16222,1.77847,1.18949,0.00333,1.56231,0.63203,0.64547,0.64555,0.4527,0.63426,0.6551,0.64427,0.4093,1.11513,1.9348,1.28788,0.00445,0,0.000792125,0.000792125,0.000792125
39,4171.25,1.11664,1.74834,1.18316,0.00321,1.54515,0.61506,0.59468,0.61917,0.44533,0.6129,0.5934,0.61468,0.39847,1.1071,1.94839,1.26502,0.00443,0,0.00077975,0.00077975,0.00077975
40,4285.9,1.15124,1.79277,1.20512,0.00329,1.58388,0.69016,0.48444,0.58029,0.41339,0.69175,0.48711,0.57502,0.373,1.12521,1.99581,1.32666,0.00458,0,0.000767375,0.000767375,0.000767375
41,4400.55,1.09853,1.68531,1.16371,0.0032,1.51476,0.62948,0.59959,0.61705,0.442,0.6305,0.59847,0.61378,0.40574,1.12516,1.94426,1.29937,0.00446,0,0.000755,0.000755,0.000755
42,4515.1,1.10547,1.69235,1.14574,0.00315,1.48506,0.63364,0.65406,0.64799,0.4685,0.63239,0.64364,0.64608,0.42401,1.09199,1.87974,1.25068,0.00434,0,0.000742625,0.000742625,0.000742625
43,4628.61,1.12807,1.71672,1.17497,0.00328,1.53725,0.65217,0.59646,0.63004,0.44436,0.64787,0.58939,0.61962,0.40747,1.14647,1.94067,1.28199,0.00457,0,0.00073025,0.00073025,0.00073025
44,4742.35,1.08922,1.67216,1.17653,0.00314,1.50263,0.57536,0.59158,0.61829,0.42855,0.56493,0.58442,0.61095,0.39713,1.10199,1.90635,1.28756,0.00437,0,0.000717875,0.000717875,0.000717875
45,4854.26,1.1015,1.68353,1.12861,0.00313,1.44762,0.66667,0.54591,0.62551,0.43539,0.66369,0.5453,0.61481,0.39608,1.10458,1.89295,1.17685,0.0044,0,0.0007055,0.0007055,0.0007055
46,4968.53,1.1158,1.68503,1.14463,0.00321,1.48947,0.5626,0.60014,0.61479,0.43626,0.57032,0.59236,0.61228,0.40213,1.1154,1.89356,1.27366,0.00441,0,0.000693125,0.000693125,0.000693125
47,5078.47,1.10503,1.69668,1.12327,0.00331,1.45916,0.63611,0.56108,0.59004,0.41952,0.63554,0.56328,0.58649,0.38027,1.10381,1.96393,1.28557,0.00434,0,0.00068075,0.00068075,0.00068075
