epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,135.666,1.23209,2.36392,2.60897,0.00374,4.61141,0.53615,0.25927,0.25804,0.18282,0.54255,0.25561,0.25376,0.15977,1.25784,2.59007,2.20984,0.00525,0,0.000411325,0.000411325,0.000411325
2,215.434,1.29386,2.24843,1.76441,0.00396,2.77434,0.30911,0.40309,0.3075,0.20693,0.30925,0.39541,0.30099,0.17743,1.33133,2.73806,1.79857,0.00555,0,0.000819794,0.000819794,0.000819794
3,305.997,1.34501,2.23639,1.69038,0.00402,2.22327,0.38,0.56068,0.40809,0.26466,0.36683,0.51709,0.39553,0.25023,1.34079,2.359,1.78784,0.00555,0,0.00122001,0.00122001,0.00122001
4,399.83,1.32958,2.19096,1.63499,0.00404,2.03556,0.36884,0.46091,0.35636,0.24113,0.40055,0.45892,0.34593,0.21508,1.25914,2.32203,1.92778,0.00522,0,0.00121287,0.00121287,0.00121287
5,489.611,1.28056,2.11664,1.58197,0.00378,2.05791,0.40876,0.35044,0.37248,0.24814,0.421,0.35472,0.37155,0.22726,1.28277,2.20805,1.76474,0.00526,0,0.0012005,0.0012005,0.0012005
6,580.563,1.26233,2.08582,1.5339,0.00382,2.02363,0.38749,0.47955,0.40094,0.27921,0.38988,0.47629,0.39438,0.23968,1.26795,2.42926,1.76218,0.00514,0,0.00118812,0.00118812,0.00118812
7,669.853,1.2761,2.05666,1.54225,0.00391,2.00983,0.59941,0.42803,0.4766,0.31826,0.59508,0.41235,0.45973,0.27097,1.26228,nan,nan,0.00529,0,0.00117575,0.00117575,0.00117575
8,758.609,1.27532,2.10499,1.49353,0.00391,1.98575,0.76681,0.39372,0.50466,0.35851,0.77114,0.39547,0.49251,0.33043,1.22509,2.13079,1.64337,0.00503,0,0.00116337,0.00116337,0.00116337
9,851.137,1.2523,2.01084,1.45228,0.00382,1.9233,0.66808,0.463,0.53209,0.35264,0.61677,0.45013,0.51166,0.33006,1.25065,2.15827,1.50811,0.00532,0,0.001151,0.001151,0.001151
10,939.925,1.23404,2.03691,1.44946,0.00353,1.92239,0.79662,0.35632,0.50364,0.35577,0.75782,0.35527,0.4978,0.3224,1.19527,2.10861,1.53145,0.00485,0,0.00113863,0.00113863,0.00113863
11,1029.97,1.27168,2.07647,1.47984,0.00378,1.98855,0.5554,0.49214,0.509,0.35488,0.55756,0.46418,0.50074,0.31657,1.19518,2.09702,1.49937,0.00487,0,0.00112625,0.00112625,0.00112625
12,1120.75,1.24212,1.98439,1.43937,0.0037,1.88858,0.62566,0.45985,0.52569,0.35216,0.64584,0.45513,0.51481,0.32685,1.25006,2.15259,1.45074,0.00523,0,0.00111388,0.00111388,0.00111388
13,1210.77,1.26055,1.9783,1.42969,0.00367,1.86687,0.44076,0.55951,0.51657,0.35592,0.43432,0.55291,0.51169,0.32672,1.19484,2.02431,1.40808,0.00489,0,0.0011015,0.0011015,0.0011015
14,1304.63,1.21587,1.9307,1.38341,0.00353,1.94234,0.76346,0.48486,0.58543,0.40533,0.73293,0.48407,0.57696,0.38162,1.14132,2.05856,1.38525,0.00466,0,0.00108913,0.00108913,0.00108913
15,1393.89,1.2507,2.0132,1.40045,0.00355,1.8966,0.41496,0.5884,0.53073,0.37102,0.40795,0.58887,0.52112,0.34458,1.16596,2.0357,1.56889,0.00475,0,0.00107675,0.00107675,0.00107675
16,1486.17,1.19603,1.92413,1.33947,0.00355,1.83577,0.54071,0.59715,0.56481,0.39009,0.50546,0.59388,0.55909,0.35841,1.18324,2.01324,1.52816,0.00476,0,0.00106437,0.00106437,0.00106437
17,1573.94,1.20713,1.93091,1.34631,0.00355,1.79198,0.47665,0.53319,0.51561,0.3672,0.47625,0.53003,0.50995,0.34165,1.19199,2.02158,1.43572,0.00482,0,0.001052,0.001052,0.001052
18,1663.46,1.21752,1.98146,1.36572,0.00352,1.8677,0.64249,0.45934,0.5401,0.36929,0.66454,0.44422,0.53358,0.34214,1.17547,2.05542,1.46705,0.00475,0,0.00103962,0.00103962,0.00103962
19,1751.66,1.17482,1.82725,1.31037,0.0034,1.82665,0.58002,0.51482,0.53616,0.37511,0.58053,0.5111,0.52698,0.34325,1.13528,2.0448,1.34901,0.00461,0,0.00102725,0.00102725,0.00102725
