epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3089.93,1.08354,1.79471,1.29529,0.00311,1.81616,0.73976,0.4483,0.57106,0.40976,0.72096,0.44786,0.56462,0.37975,1.09914,2.01473,1.37475,0.00441,0,0.000915875,0.000915875,0.000915875
29,3202.6,1.08249,1.76184,1.30338,0.00309,1.7713,0.76727,0.42897,0.5701,0.40772,0.76802,0.42958,0.57223,0.39098,1.1055,2.0153,1.45616,0.0044,0,0.0009035,0.0009035,0.0009035
30,3316.67,1.09923,1.83961,1.2949,0.00312,1.72193,0.59824,0.5121,0.55654,0.39958,0.60365,0.51,0.55367,0.37874,1.11623,2.06846,1.45302,0.00461,0,0.000891125,0.000891125,0.000891125
31,3427.2,1.08957,1.72231,1.2527,0.00313,1.79141,0.74847,0.43097,0.58189,0.40933,0.73662,0.40849,0.56012,0.37679,1.12243,2.02398,1.46498,0.00452,0,0.00087875,0.00087875,0.00087875
32,3537.49,1.05658,1.75033,1.24896,0.00298,1.73898,0.68732,0.50293,0.56979,0.41007,0.68633,0.5022,0.55965,0.37893,1.1179,2.03544,1.38256,0.00443,0,0.000866375,0.000866375,0.000866375
33,3644.91,1.08171,1.80582,1.28707,0.00302,1.7729,0.56234,0.52571,0.54063,0.39574,0.63426,0.48473,0.53701,0.36794,1.10388,2.03314,1.48421,0.00443,0,0.000854,0.000854,0.000854
34,3747.88,1.09057,1.79893,1.28125,0.00306,1.73625,0.58309,0.53609,0.56651,0.4119,0.63701,0.51363,0.5638,0.39026,1.10413,2.05605,1.38174,0.00442,0,0.000841625,0.000841625,0.000841625
35,3862.78,1.07564,1.7896,1.24392,0.0031,1.68467,0.552,0.5524,0.57172,0.40985,0.55055,0.54942,0.56128,0.38465,1.10746,1.96525,1.40932,0.00446,0,0.00082925,0.00082925,0.00082925
36,3977.91,1.08755,1.7655,1.23164,0.00315,1.69937,0.56098,0.56121,0.55204,0.38873,0.5648,0.54708,0.55014,0.36522,1.10355,1.96378,1.35837,0.00445,0,0.000816875,0.000816875,0.000816875
37,4085.37,1.05983,1.70499,1.21166,0.00311,1.64315,0.57047,0.56138,0.58412,0.42953,0.56165,0.53808,0.57838,0.40019,1.05747,1.96503,1.32499,0.00419,0,0.0008045,0.0008045,0.0008045
38,4192.88,1.08989,1.7713,1.24443,0.00309,1.6559,0.79384,0.49429,0.60883,0.42821,0.58626,0.59428,0.59998,0.40052,1.09681,1.9355,1.38275,0.00438,0,0.000792125,0.000792125,0.000792125
39,4304.89,1.05513,1.7333,1.23185,0.00301,1.64302,0.55998,0.56365,0.58567,0.42504,0.55607,0.55439,0.57926,0.40086,1.0485,1.93373,1.34711,0.00417,0,0.00077975,0.00077975,0.00077975
