epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,5265.5,0.99934,1.64308,1.10131,0.00295,1.09355,0.42292,0.37659,0.37286,0.24716,0.41921,0.38436,0.37018,0.22275,0.94054,1.75306,1.14648,0.00378,0,0.000571059,0.000571059,0.000571059
28,5458.78,1.02792,1.65322,1.15799,0.00295,1.07592,0.31717,0.37592,0.38911,0.24226,0.33776,0.37196,0.36833,0.2029,0.95081,1.79216,1.19574,0.00378,0,0.000563446,0.000563446,0.000563446
29,5652.2,1.01283,1.62644,1.12989,0.00283,1.03329,0.51955,0.39229,0.39607,0.25496,0.50828,0.38777,0.38973,0.22794,0.9445,1.84191,1.17324,0.00377,0,0.000555833,0.000555833,0.000555833
30,5845.24,1.01582,1.65936,1.10276,0.00299,0.99981,0.34802,0.40065,0.38991,0.24563,0.33328,0.39421,0.38329,0.21899,0.95518,1.81173,1.1596,0.00379,0,0.00054822,0.00054822,0.00054822
31,6038.69,0.99887,1.60495,1.11759,0.00274,1.0892,0.51454,0.37135,0.38257,0.24458,0.51918,0.37256,0.38168,0.22196,0.95813,1.80193,1.14922,0.00377,0,0.000540607,0.000540607,0.000540607
32,6232.2,0.98116,1.59509,1.04238,0.00281,0.98654,0.59863,0.39832,0.4157,0.24935,0.58362,0.37999,0.39542,0.22767,0.95254,1.85121,1.20167,0.00378,0,0.000532994,0.000532994,0.000532994
33,6425.11,1.02857,1.65111,1.10056,0.00292,1.03828,0.4785,0.43105,0.40461,0.24548,0.46002,0.38636,0.36407,0.21686,0.95487,1.81414,1.15715,0.00377,0,0.000525381,0.000525381,0.000525381
34,6618.6,1.01452,1.60078,1.09816,0.0028,1.0351,0.48844,0.3976,0.40379,0.24837,0.52497,0.40096,0.39504,0.22252,0.9817,1.82384,1.17328,0.00391,0,0.000517768,0.000517768,0.000517768
35,6812.34,0.98464,1.58261,1.02564,0.00286,1.01098,0.47502,0.3666,0.38298,0.24603,0.47118,0.38515,0.37964,0.22936,0.96715,1.79793,1.14744,0.00387,0,0.000510155,0.000510155,0.000510155
36,7006.14,1.01583,1.59606,1.05825,0.0029,1.03273,0.48014,0.39322,0.3976,0.25602,0.47287,0.38902,0.38835,0.23203,0.96696,1.76677,1.10781,0.00382,0,0.000502541,0.000502541,0.000502541
37,7199.71,0.98262,1.54039,1.03964,0.00277,0.95996,0.57449,0.38541,0.39984,0.25623,0.56278,0.37806,0.38435,0.22932,0.96497,1.81008,1.14017,0.00385,0,0.000494928,0.000494928,0.000494928
