epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,3056.95,1.01181,1.66138,1.17058,0.00286,1.08648,0.63655,0.38053,0.35724,0.22446,0.63227,0.37479,0.34756,0.20646,1.06133,1.91462,1.39353,0.00419,0,0.000571059,0.000571059,0.000571059
28,3170.24,1.01575,1.65215,1.12872,0.00287,1.03047,0.53537,0.39015,0.38479,0.24397,0.52773,0.39425,0.3773,0.22245,1.06774,1.92189,1.29376,0.00424,0,0.000563446,0.000563446,0.000563446
29,3280.83,1.01243,1.61554,1.13625,0.00282,1.03859,0.40827,0.38573,0.37877,0.23702,0.39915,0.38632,0.37332,0.21268,1.08324,1.9641,1.36802,0.00435,0,0.000555833,0.000555833,0.000555833
30,3392.14,1.03357,1.71647,1.16192,0.00289,1.01403,0.41771,0.39006,0.37428,0.2428,0.6123,0.32783,0.36804,0.22348,1.06042,1.92743,1.29412,0.00422,0,0.00054822,0.00054822,0.00054822
31,3504.41,0.99223,1.57255,1.1131,0.00275,1.02322,0.4789,0.36137,0.37163,0.24019,0.52708,0.37799,0.36313,0.22133,1.07126,1.96327,1.45121,0.00421,0,0.000540607,0.000540607,0.000540607
32,3619.05,0.98136,1.61215,1.08806,0.00269,0.9867,0.55496,0.38185,0.36332,0.23952,0.56167,0.38123,0.36671,0.21996,1.04844,1.90594,1.38596,0.00418,0,0.000532994,0.000532994,0.000532994
33,3734.12,1.02351,1.63643,1.14494,0.00281,1.00637,0.66949,0.31166,0.36559,0.23108,0.62205,0.3219,0.35421,0.21025,1.04673,1.96085,1.32091,0.00415,0,0.000525381,0.000525381,0.000525381
34,3849.06,1.02169,1.64549,1.13334,0.00281,1.0043,0.82157,0.29788,0.37151,0.24267,0.82346,0.29218,0.35306,0.21388,1.09483,2.05817,1.39383,0.00437,0,0.000517768,0.000517768,0.000517768
35,3959.59,1.00856,1.65742,1.10382,0.00284,0.997,0.51666,0.39799,0.3968,0.2509,0.49131,0.41997,0.39244,0.23063,1.08018,1.9272,1.31876,0.00435,0,0.000510155,0.000510155,0.000510155
36,4076.13,1.01605,1.62512,1.08429,0.00287,0.99276,0.69103,0.34257,0.37674,0.23912,0.65718,0.35061,0.37303,0.21691,1.06726,1.89734,1.30324,0.00423,0,0.000502541,0.000502541,0.000502541
37,4187.13,0.9811,1.55494,1.07187,0.00279,0.9376,0.621,0.37172,0.3886,0.2524,0.58721,0.37582,0.37275,0.22634,1.06172,1.8997,1.22366,0.00425,0,0.000494928,0.000494928,0.000494928
38,4299.23,1.00551,1.61393,1.0718,0.00277,0.95521,0.40966,0.4405,0.42181,0.27628,0.41164,0.42825,0.41381,0.24141,1.0546,2.02606,1.31697,0.00418,0,0.000487315,0.000487315,0.000487315
39,4408.82,0.97861,1.56957,1.05617,0.0027,0.97027,0.62161,0.41284,0.41193,0.26539,0.61801,0.40182,0.40047,0.23902,1.04001,1.91139,1.28544,0.00409,0,0.000479702,0.000479702,0.000479702
40,4522.8,0.99911,1.5902,1.06597,0.00275,0.96458,0.7061,0.40245,0.4101,0.26565,0.69947,0.39963,0.39578,0.23751,1.05317,1.90655,1.19064,0.00417,0,0.000472089,0.000472089,0.000472089
41,4637.56,0.96845,1.52286,1.00536,0.00272,0.91329,0.48111,0.39454,0.39822,0.26093,0.49793,0.40255,0.38484,0.23552,1.05782,1.92918,1.29148,0.00417,0,0.000464476,0.000464476,0.000464476
42,4754.87,0.97352,1.55322,1.01018,0.00268,0.92131,0.59729,0.42042,0.41112,0.26049,0.57103,0.40945,0.39374,0.23788,1.06612,1.99231,1.30296,0.0042,0,0.000456863,0.000456863,0.000456863
43,4865.25,0.98298,1.54968,1.04479,0.00276,0.93986,0.43546,0.36026,0.3806,0.248,0.56485,0.34258,0.3715,0.22318,1.07062,2.03775,1.38444,0.00428,0,0.00044925,0.00044925,0.00044925
