epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,2495.15,1.09797,1.70046,1.16846,0.00312,1.01928,0.47459,0.4645,0.41505,0.2424,0.47634,0.45634,0.40475,0.21042,1.1134,1.89696,1.32332,0.00437,0,0.000571059,0.000571059,0.000571059
28,2583.52,1.09399,1.68533,1.1308,0.00308,0.97067,0.64636,0.4041,0.40588,0.25373,0.66255,0.40124,0.3941,0.22445,1.12163,1.91566,1.25154,0.00446,0,0.000563446,0.000563446,0.000563446
29,2669.05,1.08006,1.64064,1.12229,0.00302,0.98796,0.66225,0.37227,0.37025,0.2333,0.65125,0.36476,0.35413,0.21036,1.13004,1.89511,1.31753,0.00443,0,0.000555833,0.000555833,0.000555833
30,2759.74,1.11908,1.75111,1.15108,0.00312,1.00762,0.49078,0.39314,0.41323,0.25912,0.48006,0.39693,0.40157,0.23431,1.11955,1.9029,1.26424,0.00435,0,0.00054822,0.00054822,0.00054822
31,2849.38,1.07784,1.62183,1.12707,0.003,1.00825,0.60873,0.38073,0.39488,0.24771,0.60565,0.37842,0.38512,0.23181,1.11236,1.87452,1.25305,0.00434,0,0.000540607,0.000540607,0.000540607
32,2939.09,1.08148,1.64379,1.08829,0.003,0.94049,0.3766,0.38806,0.39655,0.25136,0.36968,0.38104,0.38117,0.21869,1.09084,1.91582,1.24481,0.00431,0,0.000532994,0.000532994,0.000532994
33,3030,1.10504,1.66778,1.12448,0.00306,0.96794,0.49729,0.39128,0.40834,0.23765,0.50227,0.37158,0.37659,0.21284,1.13117,1.87676,1.25532,0.00451,0,0.000525381,0.000525381,0.000525381
34,3121.01,1.10698,1.68238,1.14904,0.00307,0.9773,0.43804,0.41292,0.36983,0.23386,0.43194,0.40165,0.36329,0.21124,1.08783,1.8786,1.3059,0.00433,0,0.000517768,0.000517768,0.000517768
35,3212.15,1.08418,1.66438,1.08654,0.00306,0.95511,0.48062,0.39133,0.38782,0.24742,0.46701,0.3828,0.37333,0.22461,1.09847,1.87971,1.27968,0.00436,0,0.000510155,0.000510155,0.000510155
36,3301.3,1.08855,1.65132,1.10902,0.00306,0.95828,0.41253,0.43946,0.43076,0.25821,0.3991,0.42936,0.40721,0.23803,1.10123,1.88051,1.27066,0.00432,0,0.000502541,0.000502541,0.000502541
37,3390.84,1.05368,1.59142,1.07094,0.00301,0.89889,0.61501,0.38849,0.39776,0.24686,0.61365,0.38834,0.39679,0.22987,1.09633,1.89948,1.28778,0.00437,0,0.000494928,0.000494928,0.000494928
38,3480.22,1.09094,1.64458,1.09073,0.00303,0.93652,0.53457,0.38721,0.42965,0.26536,0.50597,0.3777,0.4194,0.24407,1.06659,1.87751,1.22126,0.00418,0,0.000487315,0.000487315,0.000487315
39,3568.25,1.0646,1.60682,1.06907,0.00296,0.92555,0.35375,0.40735,0.38423,0.23968,0.4695,0.40279,0.38747,0.22053,1.11089,1.93047,1.29272,0.00438,0,0.000479702,0.000479702,0.000479702
40,3657.07,1.08612,1.65524,1.08372,0.003,0.93417,0.57472,0.38054,0.40058,0.2476,0.60494,0.37411,0.37973,0.222,1.09095,1.90172,1.30259,0.00429,0,0.000472089,0.000472089,0.000472089
41,3745.95,1.04489,1.56815,1.02495,0.00294,0.88743,0.65997,0.35871,0.38708,0.24773,0.64999,0.35794,0.37184,0.21441,1.07425,1.91437,1.25849,0.00425,0,0.000464476,0.000464476,0.000464476
42,3834.92,1.04249,1.57517,1.02102,0.00289,0.87714,0.6464,0.38631,0.42569,0.26855,0.67119,0.36504,0.41361,0.23386,1.05506,1.89377,1.2474,0.00413,0,0.000456863,0.000456863,0.000456863
43,3923.61,1.05707,1.58357,1.03774,0.00299,0.87745,0.55386,0.40184,0.42251,0.2637,0.54721,0.38992,0.40066,0.2311,1.0973,1.85715,1.20495,0.00429,0,0.00044925,0.00044925,0.00044925
44,4015.36,1.03172,1.51966,1.01402,0.0029,0.8449,0.54856,0.40182,0.42753,0.26629,0.54934,0.38825,0.41042,0.23342,1.09585,1.94157,1.23973,0.00433,0,0.000441637,0.000441637,0.000441637
45,4105.54,1.03953,1.54407,0.98462,0.00285,0.86441,0.56373,0.38272,0.40122,0.25261,0.55285,0.37169,0.38839,0.22255,1.08916,1.89587,1.24862,0.00429,0,0.000434024,0.000434024,0.000434024
46,4195.58,1.04881,1.54831,0.99022,0.00293,0.86599,0.52628,0.39133,0.41594,0.26317,0.51547,0.37723,0.4033,0.2354,1.07489,1.89189,1.23218,0.00419,0,0.000426411,0.000426411,0.000426411
47,4285.29,1.04187,1.55262,0.98819,0.00302,0.84769,0.49033,0.39676,0.40161,0.25716,0.50296,0.38786,0.39088,0.22962,1.08514,1.91281,1.24041,0.00423,0,0.000418797,0.000418797,0.000418797
48,4375.1,1.03719,1.58292,0.98111,0.00285,0.84087,0.61161,0.38476,0.40866,0.25809,0.6962,0.37635,0.38803,0.22563,1.09419,1.90749,1.26657,0.00425,0,0.000411184,0.000411184,0.000411184
49,4466.06,1.02984,1.56595,0.979,0.00295,0.84167,0.54878,0.37513,0.4,0.25169,0.54642,0.36293,0.38704,0.22294,1.06998,1.90921,1.29037,0.00421,0,0.000403571,0.000403571,0.000403571
50,4554.51,1.03596,1.5171,0.97175,0.00289,0.84404,0.53257,0.35501,0.41424,0.25963,0.5485,0.35514,0.40928,0.22543,1.07218,1.89335,1.20425,0.0041,0,0.000395958,0.000395958,0.000395958
51,4641.46,1.04779,1.5716,0.99491,0.00289,0.81316,0.62051,0.40965,0.43317,0.27544,0.6194,0.40275,0.42722,0.23839,1.06134,1.91283,1.23738,0.00412,0,0.000388345,0.000388345,0.000388345
52,4729.97,1.03342,1.55986,0.98077,0.00289,0.8862,0.62299,0.41033,0.41275,0.2631,0.6302,0.39456,0.39893,0.2314,1.06859,1.89693,1.28938,0.00419,0,0.000380732,0.000380732,0.000380732
53,4818.29,1.00127,1.51414,0.93893,0.0029,0.8216,0.44789,0.45012,0.44842,0.26499,0.37564,0.45158,0.4111,0.22298,1.08977,1.89251,1.3118,0.00424,0,0.000373119,0.000373119,0.000373119
54,4908.39,1.01873,1.52546,0.9451,0.00284,0.79859,0.48873,0.45643,0.43583,0.26803,0.49936,0.43017,0.40435,0.22801,1.09035,1.95371,1.23337,0.00422,0,0.000365506,0.000365506,0.000365506
55,4998.89,1.04124,1.51411,0.96012,0.0028,0.85774,0.58063,0.3981,0.42554,0.26542,0.65149,0.38604,0.39908,0.2316,1.08019,1.88346,1.23249,0.00422,0,0.000357893,0.000357893,0.000357893
56,5090.75,1.01069,1.46331,0.93814,0.00277,0.80843,0.38991,0.44858,0.417,0.26107,0.36314,0.4208,0.39527,0.22842,1.09263,1.97408,1.28767,0.00426,0,0.00035028,0.00035028,0.00035028
57,5182.21,1.00304,1.40458,0.88431,0.00276,0.76463,0.39489,0.45939,0.46583,0.28543,0.45014,0.43565,0.44549,0.23991,1.07464,1.91881,1.2286,0.00422,0,0.000342666,0.000342666,0.000342666
58,5271.16,1.004,1.48472,0.93029,0.00287,0.77577,0.55862,0.48038,0.44389,0.27568,0.56402,0.47617,0.43625,0.23769,1.07147,1.89986,1.25619,0.00416,0,0.000335053,0.000335053,0.000335053
59,5360.55,1.03692,1.49222,0.92368,0.00279,0.80781,0.35571,0.44484,0.42837,0.26233,0.42275,0.42358,0.41265,0.22652,1.08981,1.98443,1.28148,0.00423,0,0.00032744,0.00032744,0.00032744
60,5448.78,0.98803,1.41834,0.8937,0.00271,0.77533,0.6526,0.41188,0.44295,0.27172,0.68483,0.38972,0.43237,0.23877,1.06735,1.87949,1.217,0.00415,0,0.000319827,0.000319827,0.000319827
61,5538.57,1.02515,1.49327,0.91065,0.0028,0.77873,0.48613,0.43482,0.42581,0.26729,0.49384,0.41682,0.40809,0.2294,1.05596,1.91284,1.23348,0.0041,0,0.000312214,0.000312214,0.000312214
62,5631.16,0.99639,1.4452,0.88276,0.00277,0.75589,0.71854,0.38487,0.43608,0.26805,0.69855,0.3748,0.41021,0.2313,1.07616,1.96962,1.23509,0.0042,0,0.000304601,0.000304601,0.000304601
63,5723.32,1.00947,1.42865,0.89476,0.00276,0.74302,0.4869,0.43957,0.42141,0.26362,0.4921,0.43435,0.41085,0.23355,1.06912,1.92428,1.19739,0.00414,0,0.000296988,0.000296988,0.000296988
64,5817.69,0.96818,1.40319,0.85509,0.00271,0.72603,0.64176,0.38447,0.40272,0.25422,0.63863,0.38318,0.38064,0.22274,1.08528,1.91328,1.2864,0.0042,0,0.000289375,0.000289375,0.000289375
65,5909.57,1.00454,1.43344,0.88517,0.00276,0.72098,0.52288,0.4462,0.41961,0.26604,0.49866,0.41746,0.39517,0.22615,1.07948,1.96173,1.21695,0.00416,0,0.000281762,0.000281762,0.000281762
66,5998.84,1.02792,1.48175,0.90851,0.00284,0.763,0.65794,0.41999,0.41764,0.26316,0.63922,0.37989,0.39458,0.22788,1.05934,1.93213,1.23532,0.00407,0,0.000274148,0.000274148,0.000274148
67,6093.76,0.96489,1.4116,0.84078,0.00266,0.70155,0.4072,0.43484,0.41693,0.2564,0.39989,0.40856,0.40048,0.22605,1.04137,1.90224,1.25042,0.00404,0,0.000266535,0.000266535,0.000266535
68,6186.09,0.97639,1.38911,0.85298,0.00271,0.67736,0.59127,0.46047,0.44129,0.27091,0.57778,0.43728,0.40807,0.22867,1.06049,1.8914,1.2492,0.00411,0,0.000258922,0.000258922,0.000258922
69,6278.5,0.96315,1.39323,0.8349,0.00261,0.70572,0.61519,0.42793,0.43022,0.26702,0.66835,0.38281,0.40422,0.2275,1.06224,1.91811,1.26163,0.00409,0,0.000251309,0.000251309,0.000251309
70,6371.14,0.98353,1.40476,0.84038,0.00269,0.68694,0.51847,0.41775,0.41542,0.26106,0.4965,0.39278,0.39851,0.22333,1.04355,1.92049,1.27108,0.00402,0,0.000243696,0.000243696,0.000243696
71,6460.25,1.02353,1.45009,0.8563,0.00268,0.73202,0.5452,0.39868,0.41608,0.26031,0.65832,0.37426,0.399,0.22978,1.06836,1.90757,1.26978,0.00413,0,0.000236083,0.000236083,0.000236083
72,6550.69,0.99053,1.40909,0.82858,0.00269,0.69631,0.47013,0.42253,0.45483,0.26883,0.67514,0.38418,0.44242,0.23657,1.074,2.00319,1.24533,0.0042,0,0.00022847,0.00022847,0.00022847
73,6640.58,0.96815,1.34601,0.81193,0.00267,0.67391,0.50827,0.41828,0.41387,0.26293,0.5336,0.3855,0.4102,0.23216,1.05099,1.92917,1.2765,0.00406,0,0.000220857,0.000220857,0.000220857
74,6730.55,0.9572,1.33641,0.78436,0.00248,0.66968,0.35081,0.44685,0.42475,0.25582,0.33378,0.44036,0.40509,0.22206,1.07753,2.0149,1.3548,0.00413,0,0.000213244,0.000213244,0.000213244
75,6821.82,0.95824,1.33923,0.80667,0.00259,0.67171,0.46898,0.48759,0.45112,0.26988,0.51625,0.40925,0.43562,0.23341,1.07648,1.99768,1.24987,0.00417,0,0.000205631,0.000205631,0.000205631
76,6913.08,0.97962,1.39936,0.8124,0.00264,0.70154,0.43574,0.42343,0.42123,0.25982,0.42665,0.41392,0.40695,0.22933,1.06429,1.94435,1.33437,0.00413,0,0.000198018,0.000198018,0.000198018
77,7005.04,0.96797,1.37488,0.79959,0.0026,0.67098,0.38882,0.4887,0.43584,0.26757,0.3819,0.47885,0.42442,0.23287,1.05344,1.95124,1.25177,0.0041,0,0.000190404,0.000190404,0.000190404
78,7098.4,0.94486,1.31924,0.76912,0.00258,0.64803,0.48704,0.43041,0.44511,0.26627,0.47773,0.41316,0.42561,0.23416,1.08073,1.98423,1.32389,0.00422,0,0.000182791,0.000182791,0.000182791
79,7191.47,0.96682,1.37445,0.77981,0.00261,0.65543,0.55089,0.41167,0.43873,0.26729,0.69137,0.38179,0.42931,0.23511,1.0598,1.96707,1.33407,0.00409,0,0.000175178,0.000175178,0.000175178
80,7283.84,0.95566,1.34113,0.77397,0.0026,0.62937,0.54074,0.4372,0.45094,0.26993,0.5807,0.38867,0.4238,0.23499,1.06025,1.98521,1.33098,0.00411,0,0.000167565,0.000167565,0.000167565
81,7375.28,0.94932,1.34009,0.75279,0.00255,0.6143,0.5501,0.40935,0.4601,0.27677,0.61621,0.37531,0.43938,0.23379,1.05221,1.98893,1.37516,0.00405,0,0.000159952,0.000159952,0.000159952
82,7465.62,0.93619,1.31448,0.76219,0.00252,0.6269,0.44817,0.47933,0.46351,0.27583,0.44096,0.46987,0.4555,0.23101,1.07056,1.99186,1.29336,0.00414,0,0.000152339,0.000152339,0.000152339
83,7556.26,0.941,1.31467,0.75562,0.00262,0.61298,0.50983,0.4562,0.45263,0.27005,0.49381,0.44403,0.43714,0.23056,1.06484,1.97919,1.30046,0.00411,0,0.000144726,0.000144726,0.000144726
84,7647.69,0.96031,1.35107,0.75016,0.00246,0.64615,0.46795,0.52038,0.45432,0.27692,0.47617,0.47568,0.43588,0.2326,1.05188,1.9473,1.3077,0.00401,0,0.000137113,0.000137113,0.000137113
85,7740.27,0.93064,1.31958,0.7231,0.00247,0.63371,0.45184,0.47031,0.44384,0.26988,0.44314,0.46473,0.44123,0.23791,1.06756,1.96227,1.33176,0.00415,0,0.0001295,0.0001295,0.0001295
86,7830.91,0.93126,1.29116,0.71081,0.00243,0.61646,0.44545,0.49948,0.44587,0.26872,0.44455,0.49747,0.44137,0.23631,1.05577,1.96269,1.29076,0.00407,0,0.000121887,0.000121887,0.000121887
87,7921.16,0.92839,1.29169,0.72525,0.00251,0.60112,0.4659,0.5022,0.44366,0.26855,0.45475,0.49225,0.43639,0.23297,1.06879,1.97895,1.27985,0.00413,0,0.000114273,0.000114273,0.000114273
88,8013.81,0.93429,1.29984,0.73352,0.0025,0.61409,0.41177,0.49725,0.41676,0.26024,0.56591,0.39093,0.41276,0.22549,1.0553,2.0101,1.37407,0.00407,0,0.00010666,0.00010666,0.00010666
89,8105.16,0.91618,1.26698,0.71707,0.00245,0.58182,0.47662,0.46291,0.43604,0.26822,0.5857,0.39835,0.44098,0.23061,1.05969,1.98892,1.31779,0.00407,0,9.90472e-05,9.90472e-05,9.90472e-05
90,8196.41,0.91277,1.2678,0.70545,0.00243,0.58119,0.51014,0.46981,0.43777,0.2646,0.53895,0.42024,0.43551,0.23129,1.0637,2.03154,1.33932,0.00406,0,9.14341e-05,9.14341e-05,9.14341e-05
91,8290.16,0.89372,1.31149,0.67537,0.00283,0.41271,0.52011,0.47519,0.44533,0.26036,0.51076,0.46447,0.43343,0.22783,1.09194,2.07629,1.34206,0.0042,0,8.3821e-05,8.3821e-05,8.3821e-05
92,8376.12,0.89926,1.3124,0.67058,0.00278,0.4107,0.48229,0.50792,0.44307,0.26157,0.49006,0.49204,0.43316,0.22486,1.07737,2.06242,1.33839,0.00413,0,7.62079e-05,7.62079e-05,7.62079e-05
93,8462.01,0.86858,1.26824,0.64185,0.00268,0.38218,0.64051,0.4457,0.43519,0.25943,0.63166,0.43795,0.42209,0.22547,1.08631,2.05498,1.33641,0.00418,0,6.85948e-05,6.85948e-05,6.85948e-05
94,8549.07,0.88432,1.26311,0.62603,0.00272,0.37114,0.46412,0.45932,0.44188,0.25998,0.64033,0.42657,0.42328,0.22333,1.08492,2.06553,1.34695,0.00419,0,6.09817e-05,6.09817e-05,6.09817e-05
95,8640.02,0.85444,1.26381,0.62199,0.00274,0.37751,0.48579,0.45574,0.43844,0.26466,0.48331,0.44509,0.43434,0.23111,1.07129,2.0463,1.3419,0.00411,0,5.33686e-05,5.33686e-05,5.33686e-05
96,8726.81,0.8697,1.25539,0.61136,0.00269,0.37214,0.43807,0.47635,0.44105,0.26906,0.42768,0.46501,0.42736,0.22678,1.06712,2.03371,1.33462,0.00408,0,4.57555e-05,4.57555e-05,4.57555e-05
97,8815.37,0.86405,1.24122,0.62283,0.00268,0.36804,0.44657,0.48242,0.4511,0.27019,0.4362,0.4715,0.42824,0.22753,1.06442,2.0328,1.33541,0.00408,0,3.81424e-05,3.81424e-05,3.81424e-05
98,8903.84,0.85145,1.22623,0.59825,0.00268,0.376,0.45816,0.47745,0.43623,0.26449,0.46215,0.46037,0.42731,0.2255,1.07939,2.03281,1.33887,0.00414,0,3.05293e-05,3.05293e-05,3.05293e-05
99,8994.26,0.83391,1.2164,0.59453,0.00263,0.3633,0.4739,0.46902,0.43992,0.2677,0.47158,0.46648,0.4342,0.2274,1.07012,2.01556,1.34072,0.00411,0,2.29162e-05,2.29162e-05,2.29162e-05
100,9081.15,0.84674,1.28007,0.605,0.00271,0.37293,0.44282,0.47355,0.44145,0.26639,0.43252,0.4631,0.42976,0.2258,1.07527,2.0294,1.33951,0.00414,0,1.53031e-05,1.53031e-05,1.53031e-05
